ID,카테고리,심각도,제목,상세설명,현재상태,개선방안
1,지도,high,지도가 대전 화재 위치로 이동되지 않음,"토픽 설정(daejeon-fire.ts)에 center: {lat:36.35 lng:127.38} zoom:12로 정의되어 있으나 실제 화면에서는 동아시아 전체(zoom 4~5 수준)가 표시됨. FlatMap 초기화가 KOREA_CENTER(36.5,127.5) zoom 6으로 시작 후 flyTo가 제대로 적용되지 않는 것으로 추정",미해결,"flyTo 호출 시점 확인 — probeAndCreateMap 비동기 완료 후 map 'load' 이벤트 이후에 flyTo가 실행되도록 보장. pendingFlyTo 로직 디버깅 필요"
2,데이터,high,열점 감지 패널에 대전 화재와 무관한 데이터 표시,"열점 패널에 Japan(103건), China(80건), 북한(11건) 등 대전 화재와 관련 없는 글로벌 FIRMS 데이터가 표시됨. 대전 화재 토픽에서는 대전/충청 지역 데이터가 우선 표시되어야 함",미해결,"대전 화재 토픽 활성화 시 열점 데이터를 대전/충청 지역 중심으로 필터링하거나, 토픽별 dataCenter 반경 설정을 활용하여 관련 지역만 조회"
3,데이터,high,에이전트 뉴스 패널 데이터 비어있음,"에이전트 뉴스 패널에 '업데이트 #0'만 표시되고 실제 뉴스 아이템 없음. data/daejeon-fire/news.json의 items 배열이 비어 있음([])",미해결,"scripts/add-news.mjs 또는 /add-news 스킬로 대전 화재 뉴스 수집 및 추가 필요. 자동 수집 스케줄 설정 검토"
4,데이터,medium,뉴스 요약(summary) 미갱신,"news.json의 summary 필드가 초기값 그대로: situation='모니터링 시작', casualties/response/outlook='확인 중'. 실제 화재 상황이 반영되지 않음",미해결,"뉴스 수집 후 --summary 옵션으로 상황 요약 갱신 필요"
5,데이터,medium,알림(Alert) 패널에 대전 화재와 무관한 경보 표시,"하단 알림 패널에 '북한 FRP:5.0 nominal', 'China FRP:7.3 nominal' 등 대전 화재와 관련 없는 열점 알림이 표시됨",미해결,"대전 화재 토픽에서는 충청/대전 지역 알림만 표시하도록 필터링하거나, 토픽별 알림 필터 로직 추가"
6,데이터,low,기상 패널 대전 우선 표시 필요,"기상 현황 패널이 서울→춘천→대구→울산→제주→대전→광주→포항 순서로 표시됨. 대전 화재 토픽에서는 대전이 최상단에 표시되어야 함",미해결,"토픽별 기상 데이터 정렬 우선순위 적용 — 대전 화재 토픽일 때 대전 관측소를 최상단 배치"
7,UI,low,열점 패널 하단 '데이터 로딩 중' 상태 표시,"열점 패널 footer에 '데이터 로딩 중'과 '방금 전'이 함께 표시됨. 데이터가 이미 로드된 상태에서 로딩 메시지가 남아있음",미해결,"데이터 로드 완료 후 footer 상태를 '최근 갱신: X분 전'으로 변경"
8,기능,info,뉴스 피드 정상 동작 확인,"우측 뉴스 피드 패널에 대전 화재 관련 한국어/영어 뉴스가 정상 표시됨 (한겨레/YTN/연합뉴스/Washington Post/Korea Herald 등 30여건)",정상,유지
9,기능,info,YouTube 패널 정상 동작 확인,"대전 화재 관련 실시간/VOD 영상 썸네일이 정상 표시됨 (10개 영상)",정상,유지
10,기능,info,토픽 선택기 정상 동작 확인,"헤더에 '🔥 대전 화재 ▾' 토픽 선택 버튼이 정상 표시됨",정상,유지
