ID,카테고리,심각도,제목,상세설명,현재상태,개선방안,관련파일
1,지도,critical,지도가 여전히 대전 화재 현장으로 이동되지 않음,"토픽 설정에 center:{lat:36.35 lng:127.38} zoom:12 지정되어 있으나, 실제로는 한국 전체(zoom 6~7)가 표시됨. FlatMap.createMap()이 KOREA_CENTER(36.5/127.5) zoom:6으로 초기화 후, flyTo가 비동기 map 'load' 이벤트 전에 호출되어 무시되는 것으로 추정",[o] v102 해결,"FlatMap 생성자에 initialCenter/initialZoom 파라미터 추가. MapContainer가 pendingFlyTo에서 초기값을 전달하여 맵 생성 시점부터 토픽 center/zoom 적용",src/components/FlatMap.ts;src/components/MapContainer.ts
2,피드정렬,critical,뉴스 피드에 시간 표시 없이 나열되어 시간순 파악 불가,"뉴스 피드 50건이 나열되지만 상대시간만 표시. 시간순 정렬 미보장",[o] v102 해결,"pubDate 기준 최신순 정렬 추가. 절대시각(HH:MM) + 상대시간 병행 표시",src/components/FeedPanel.ts
3,피드정렬,critical,에이전트 뉴스 시간순 정렬 및 시각 표시 부족,"에이전트 뉴스가 동일한 상대시간으로 표시되어 구분 불가",[o] v102 해결,"pubDate 기준 내림차순 정렬. 절대시각(HH:MM) + 상대시간 병행 표시",src/components/AgentNewsPanel.ts
4,피드정렬,high,YouTube 영상 시간순 정렬 미확인,"각 영상의 게시 시간 미표시. 정렬 미보장",[o] v102 해결,"published 기준 최신순 정렬. 카드에 게시시각 표시 추가",src/components/YouTubePanel.ts
5,가시성,critical,전체적으로 정보 밀도가 낮아 한눈에 파악 불가,"에이전트 뉴스 패널이 하단에 위치하여 스크롤 필요",[o] v102 해결,"에이전트 뉴스를 좌측 최상단으로 재배치. 열점/기상은 하단 배치",src/config/topics/daejeon-fire.ts
6,데이터,high,에이전트 수집 뉴스(news.json) 파일 데이터가 화면에 반영 안됨,"news.json items 비어있음",[o] v101에서 해결,"v101에서 13건 뉴스 수집 추가 + 요약 갱신 완료. news.json에 실제 데이터 존재",data/daejeon-fire/news.json
7,지도,high,지도 위 화재 현장 마커/핀이 없음,"화재 현장에 명시적 마커 없음",[o] v102 해결,"TopicMarker 타입 추가. daejeon-fire 토픽에 화재 현장 좌표(36.3944/127.4183) 마커 설정. FlatMap.setTopicMarkers()로 펄스 애니메이션 마커+팝업 렌더링",src/components/FlatMap.ts;src/config/topics/types.ts;src/config/topics/daejeon-fire.ts
8,데이터,medium,AI 브리핑 자동 생성 안됨,"뉴스 로드 후에도 브리핑 미생성",[o] v102 해결,"AiBriefPanel.setItems()에 autoGenerate 파라미터 추가. 첫 피드 로드 시 자동 생성 트리거",src/components/AiBriefPanel.ts;src/App.ts
9,데이터,medium,위성/항공기 추적 데이터 0건,"대전 토픽에서 위성/항공기 데이터 없음",[o] v102 해결,"대전 화재 토픽 layers에서 satellites/flights를 false로 설정. 불필요한 데이터 요청 제거",src/config/topics/daejeon-fire.ts
10,피드정렬,medium,경보 이력 시간순 정렬 확인 필요,"시간순 정렬이 혼재됨",[o] v102 해결,"AlertPanel 정렬을 시간 내림차순 우선으로 변경 (기존: 신뢰도 우선)",src/components/AlertPanel.ts
